Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Fazalhaq Farooqi (AFG),2024-2024,8,8,152,25.2,-,160,17,5/9,9.41,6.31,8.94,1,1
Arshdeep Singh (IND),2024-2024,8,8,180,30.0,-,215,17,4/9,12.64,7.16,10.58,1,-
JJ Bumrah (IND),2024-2024,8,8,178,29.4,2,124,15,3/7,8.26,4.17,11.86,-,-
A Nortje (SA),2024-2024,9,9,210,35.0,-,201,15,4/7,13.40,5.74,14.00,1,-
Rashid Khan (AFG),2024-2024,8,8,174,29.0,-,179,14,4/17,12.78,6.17,12.42,2,-
Rishad Hossain (BAN),2024-2024,7,7,150,25.0,-,194,14,3/22,13.85,7.76,10.71,-,-
Naveen-ul-Haq (AFG),2024-2024,8,8,160,26.4,-,160,13,4/26,12.30,6.00,12.30,1,-
AS Joseph (WI),2024-2024,7,7,147,24.3,-,177,13,4/19,13.61,7.22,11.30,1,-
A Zampa (AUS),2024-2024,7,7,168,28.0,-,187,13,4/12,14.38,6.67,12.92,1,-
K Rabada (SA),2024-2024,9,9,186,31.0,2,195,13,3/18,15.00,6.29,14.30,-,-
T Shamsi (SA),2024-2024,5,5,101,16.5,-,128,11,4/19,11.63,7.60,9.18,1,-
AD Russell (WI),2024-2024,7,7,121,20.1,-,141,11,3/31,12.81,6.99,11.00,-,-
Tanzim Hasan Sakib (BAN),2024-2024,7,7,144,24.0,2,149,11,4/7,13.54,6.20,13.09,1,-
KA Maharaj (SA),2024-2024,8,8,168,28.0,-,175,11,3/27,15.90,6.25,15.27,-,-
HH Pandya (IND),2024-2024,8,8,150,25.0,2,191,11,3/20,17.36,7.64,13.63,-,-
CJ Jordan (ENG),2024-2024,5,5,83,13.5,-,134,10,4/10,13.40,9.68,8.30,1,-
Kuldeep Yadav (IND),2024-2024,5,5,120,20.0,-,139,10,3/19,13.90,6.95,12.00,-,-
MP Stoinis (AUS),2024-2024,7,6,102,17.0,-,151,10,3/19,15.10,8.88,10.20,-,-
AU Rashid (ENG),2024-2024,8,8,168,28.0,-,186,10,4/11,18.60,6.64,16.80,1,-
JC Archer (ENG),2024-2024,8,8,158,26.2,1,190,10,3/12,19.00,7.21,15.80,-,-
TA Boult (NZ),2024-2024,4,4,96,16.0,2,59,9,3/16,6.55,3.68,10.66,-,-
AJ Hosein (WI),2024-2024,7,7,150,25.0,1,141,9,5/11,15.66,5.64,16.66,-,1
PJ Cummins (AUS),2024-2024,5,5,114,19.0,1,144,9,3/28,16.00,7.57,12.66,-,-
AR Patel (IND),2024-2024,8,8,132,22.0,1,173,9,3/23,19.22,7.86,14.66,-,-
N Thushara (SL),2024-2024,3,3,64,10.4,-,60,8,4/18,7.50,5.62,8.00,1,-
Taskin Ahmed (BAN),2024-2024,6,6,128,21.2,1,137,8,2/19,17.12,6.42,16.00,-,-
Mustafizur Rahman (BAN),2024-2024,7,7,156,26.0,1,142,8,3/7,17.75,5.46,19.50,-,-
G Motie (WI),2024-2024,7,7,126,21.0,-,149,8,3/25,18.62,7.09,15.75,-,-
TG Southee (NZ),2024-2024,3,3,72,12.0,1,36,7,3/4,5.14,3.00,10.28,-,-
Gulbadin Naib (AFG),2024-2024,8,4,54,9.0,-,47,7,4/20,6.71,5.22,7.71,1,-
LH Ferguson (NZ),2024-2024,4,4,96,16.0,4,64,7,3/0,9.14,4.00,13.71,-,-
Mohammad Amir (PAK),2024-2024,4,4,96,16.0,1,72,7,2/11,10.28,4.50,13.71,-,-
RL Chase (WI),2024-2024,6,5,90,15.0,-,80,7,3/12,11.42,5.33,12.85,-,-
Haris Rauf (PAK),2024-2024,4,4,90,15.0,-,101,7,3/21,14.42,6.73,12.85,-,-
R Trumpelmann (NAM),2024-2024,4,4,72,12.0,-,107,7,4/21,15.28,8.91,10.28,1,-
LV van Beek (NED),2024-2024,4,4,92,15.2,1,127,7,3/18,18.14,8.28,13.14,-,-
M Jansen (SA),2024-2024,9,9,187,31.1,-,213,7,3/16,30.42,6.83,26.71,-,-
DS Airee (NEP),2024-2024,3,3,57,9.3,-,49,6,3/21,8.16,5.15,9.50,-,-
Mehran Khan (OMA),2024-2024,4,3,48,8.0,1,61,6,3/7,10.16,7.62,8.00,-,-
PW Hasaranga (SL),2024-2024,3,3,68,11.2,-,79,6,2/22,13.16,6.97,11.33,-,-
OEG Baartman (SA),2024-2024,5,5,114,19.0,1,94,6,4/11,15.66,4.94,19.00,1,-
SN Netravalkar (USA),2024-2024,6,6,113,18.5,-,125,6,2/18,20.83,6.63,18.83,-,-
D Heyliger (CAN),2024-2024,3,3,66,11.0,-,55,5,2/18,11.00,5.00,13.20,-,-
BJ McCarthy (IRE),2024-2024,3,3,62,10.2,1,57,5,3/15,11.40,5.51,12.40,-,-
B Masaba (UGA),2024-2024,4,3,72,12.0,-,69,5,2/21,13.80,5.75,14.40,-,-
Naseem Shah (PAK),2024-2024,3,3,72,12.0,-,71,5,3/21,14.20,5.91,14.40,-,-
D Wiese (NAM),2024-2024,4,4,61,10.1,-,79,5,3/28,15.80,7.77,12.20,-,-
BTJ Wheal (SCOT),2024-2024,4,3,70,11.4,1,80,5,3/33,16.00,6.85,14.00,-,-
PA van Meekeren (NED),2024-2024,4,4,90,15.0,1,84,5,2/15,16.80,5.60,18.00,-,-
C Kyewuta (UGA),2024-2024,4,4,79,13.1,-,97,5,2/17,19.40,7.36,15.80,-,-
TJG Pringle (NED),2024-2024,4,4,78,13.0,-,101,5,3/20,20.20,7.76,15.60,-,-
Shaheen Shah Afridi (PAK),2024-2024,4,4,96,16.0,-,105,5,3/22,21.00,6.56,19.20,-,-
MA Starc (AUS),2024-2024,5,5,108,18.0,-,154,5,2/20,30.80,8.55,21.60,-,-
K Bhurtel (NEP),2024-2024,3,2,48,8.0,-,41,4,4/19,10.25,5.12,12.00,1,-
AR Ramjani (UGA),2024-2024,4,3,66,11.0,1,66,4,2/17,16.50,6.00,16.50,-,-
A Nao (PNG),2024-2024,4,4,78,13.0,1,73,4,2/16,18.25,5.61,19.50,-,-
NT Ellis (AUS),2024-2024,3,3,66,11.0,1,74,4,2/28,18.50,6.72,16.50,-,-
MJ Santner (NZ),2024-2024,4,4,82,13.4,-,76,4,2/8,19.00,5.56,20.50,-,-
MG Erasmus (NAM),2024-2024,4,4,66,11.0,-,81,4,2/20,20.25,7.36,16.50,-,-
SM Sharif (SCOT),2024-2024,2,2,48,8.0,-,82,4,2/40,20.50,10.25,12.00,-,-
Bilal Khan (OMA),2024-2024,4,4,73,12.1,-,109,4,1/12,27.25,8.95,18.25,-,-
Harmeet Singh (USA),2024-2024,6,5,96,16.0,-,139,4,2/24,34.75,8.68,24.00,-,-
JR Hazlewood (AUS),2024-2024,6,6,144,24.0,1,145,4,2/18,36.25,6.04,36.00,-,-
Sompal Kami (NEP),2024-2024,3,3,54,9.0,1,34,3,2/10,11.33,3.77,18.00,-,-
A Dutt (NED),2024-2024,2,2,42,7.0,-,40,3,2/17,13.33,5.71,14.00,-,-
A Vala (PNG),2024-2024,4,3,42,7.0,1,42,3,2/28,14.00,6.00,14.00,-,-
N Vanua (PNG),2024-2024,3,3,48,8.0,-,43,3,2/19,14.33,5.37,16.00,-,-
Imad Wasim (PAK),2024-2024,3,3,66,11.0,-,44,3,3/8,14.66,4.00,22.00,-,-
OC McCoy (WI),2024-2024,3,3,37,6.1,-,49,3,3/14,16.33,7.94,12.33,-,-
M Pathirana (SL),2024-2024,3,3,60,10.0,-,51,3,2/12,17.00,5.10,20.00,-,-
BM Scholtz (NAM),2024-2024,4,3,60,10.0,-,64,3,1/20,21.33,6.40,20.00,-,-
MM Ali (ENG),2024-2024,8,4,54,9.0,-,73,3,1/15,24.33,8.11,18.00,-,-
MR Adair (IRE),2024-2024,3,3,72,12.0,-,74,3,1/23,24.66,6.16,24.00,-,-
JOA Gordon (CAN),2024-2024,3,3,63,10.3,-,77,3,2/16,25.66,7.33,21.00,-,-
VJ Kingma (NED),2024-2024,4,4,78,13.0,1,78,3,2/12,26.00,6.00,26.00,-,-
LS Livingstone (ENG),2024-2024,8,4,66,11.0,-,83,3,1/15,27.66,7.54,22.00,-,-
Mohammad Nabi (AFG),2024-2024,8,7,78,13.0,-,88,3,2/16,29.33,6.76,26.00,-,-
NP Kenjige (USA),2024-2024,4,4,60,10.0,-,89,3,3/30,29.66,8.90,20.00,-,-
MRJ Watt (SCOT),2024-2024,4,3,72,12.0,-,98,3,2/34,32.66,8.16,24.00,-,-
GJ Maxwell (AUS),2024-2024,7,5,72,12.0,-,103,3,2/44,34.33,8.58,24.00,-,-
MA Wood (ENG),2024-2024,5,5,78,13.0,-,113,3,3/12,37.66,8.69,26.00,-,-
SM Curran (ENG),2024-2024,5,5,72,12.0,-,115,3,2/23,38.33,9.58,24.00,-,-
BFW de Leede (NED),2024-2024,4,4,83,13.5,1,119,3,2/22,39.66,8.60,27.66,-,-
Shakib Al Hasan (BAN),2024-2024,7,6,104,17.2,-,130,3,2/9,43.33,7.50,34.66,-,-
Ali Khan (USA),2024-2024,6,6,116,19.2,-,181,3,1/21,60.33,9.36,38.66,-,-
R Ravindra (NZ),2024-2024,3,1,18,3.0,1,9,2,2/9,4.50,3.00,9.00,-,-
BJ Currie (SCOT),2024-2024,2,1,24,4.0,-,16,2,2/16,8.00,4.00,12.00,-,-
B White (IRE),2024-2024,2,2,18,3.0,-,17,2,1/6,8.50,5.66,9.00,-,-
RK Paudel (NEP),2024-2024,3,1,24,4.0,-,20,2,2/20,10.00,5.00,12.00,-,-
MD Shanaka (SL),2024-2024,3,3,30,5.0,1,27,2,1/6,13.50,5.40,15.00,-,-
IS Sodhi (NZ),2024-2024,1,1,22,3.4,-,29,2,2/29,14.50,7.90,11.00,-,-
CN Greaves (SCOT),2024-2024,4,3,30,5.0,-,30,2,1/2,15.00,6.00,15.00,-,-
CA Young (IRE),2024-2024,1,1,24,4.0,-,32,2,2/32,16.00,8.00,12.00,-,-
F Nsubuga (UGA),2024-2024,2,2,42,7.0,2,33,2,2/4,16.50,4.71,21.00,-,-
KV Morea (PNG),2024-2024,2,2,32,5.2,-,34,2,2/4,17.00,6.37,16.00,-,-
S Lamichhane (NEP),2024-2024,2,2,48,8.0,1,35,2,2/17,17.50,4.37,24.00,-,-
MJ Henry (NZ),2024-2024,1,1,24,4.0,-,37,2,2/37,18.50,9.25,12.00,-,-
C Campher (IRE),2024-2024,3,3,42,7.0,-,39,2,2/24,19.50,5.57,21.00,-,-
SI Kamea (PNG),2024-2024,2,2,36,6.0,-,39,2,1/16,19.50,6.50,18.00,-,-
J Miyagi (UGA),2024-2024,3,3,56,9.2,-,56,2,2/11,28.00,6.00,28.00,-,-
