Player,Span,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
RR Pant (IND),2024-2024,8,8,14,13,1,3 (3ct 0st),1.75
Litton Das (BAN),2024-2024,7,7,8,4,4,2 (1ct 1st),1.142
N Pooran (WI),2024-2024,7,7,8,8,-,2 (2ct 0st),1.142
Q de Kock (SA),2024-2024,9,9,8,6,2,1 (1ct 0st),0.888
JC Buttler (ENG),2024-2024,8,8,7,5,2,2 (1ct 1st),0.875
DP Conway (NZ),2024-2024,4,4,6,5,1,3 (3ct 0st),1.5
Rahmanullah Gurbaz (AFG),2024-2024,8,8,6,6,-,2 (2ct 0st),0.75
S Movva (CAN),2024-2024,3,3,5,5,-,2 (2ct 0st),1.666
Mohammad Rizwan (PAK),2024-2024,4,3,4,4,-,2 (2ct 0st),1.333
ZE Green (NAM),2024-2024,4,4,4,3,1,2 (2ct 0st),1
MH Cross (SCOT),2024-2024,4,3,3,2,1,2 (2ct 0st),1
K Doriga (PNG),2024-2024,4,4,3,3,-,2 (2ct 0st),0.75
MS Wade (AUS),2024-2024,7,7,3,3,-,2 (2ct 0st),0.428
Aasif Sheikh (NEP),2024-2024,3,3,2,1,1,1 (1ct 0st),0.666
BKG Mendis (SL),2024-2024,3,3,2,-,2,2 (0ct 2st),0.666
LJ Tucker (IRE),2024-2024,3,3,2,2,-,2 (2ct 0st),0.666
SA Edwards (NED),2024-2024,4,4,2,2,-,1 (1ct 0st),0.5
AGS Gous (USA),2024-2024,6,4,1,1,-,1 (1ct 0st),0.25
S Ssesazi (UGA),2024-2024,4,4,1,1,-,1 (1ct 0st),0.25
Azam Khan (PAK),2024-2024,1,1,-,-,-,-,-
Naseem Khushi (OMA),2024-2024,2,1,-,-,-,-,-
MD Patel (USA),2024-2024,2,2,-,-,-,-,-
PS Athavale (OMA),2024-2024,3,3,-,-,-,-,-
